Wood Supply Region	Species	Pruning	Thinnning	Planting coverage	Owner size	Age (years)	TRV (m3/ha)	Thinnings (m3/ha)	Pruned logs (m3/ha)	Unpruned logs (m3/ha)	Pulplogs (m3/ha)	Unpruned thinnings (m3/ha)	Pulplog thinnings (m3/ha)
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	11	71	0	12	44	15		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	12	92	0	17	57	18		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	13	115	0	22	70	23		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	14	138	0	27	84	27		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	15	163	0	33	99	31		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	16	189	0	39	114	36		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	17	214	0	45	129	40		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	18	239	0	51	144	44		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	19	264	0	57	158	49		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	20	295	0	62	179	54		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	21	320	0	46	168	106		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	22	341	0	49	179	113		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	23	362	0	52	190	120		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	24	383	0	55	201	127		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	25	406	0	59	213	134		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	26	429	0	62	225	142		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	27	450	0	69	241	140		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	28	472	0	73	252	147		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	29	492	0	76	263	153		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	30	512	0	79	274	159		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	31	531	0	82	284	165		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	32	553	0	85	296	172		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	33	570	0	88	305	177		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	34	589	0	91	315	183		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	35	606	0	93	324	189		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	36	626	0	96	335	195		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	37	641	0	99	343	199		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	38	656	0	101	351	204		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	39	669	0	103	358	208		
Northland	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	40	684	0	105	366	213		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	11	63	0	13	36	14		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	12	80	0	17	46	17		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	13	101	0	21	58	22		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	14	122	0	25	71	26		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	15	145	0	30	85	30		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	16	168	0	35	98	35		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	17	190	0	39	112	39		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	18	215	0	44	127	44		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	19	238	0	49	141	48		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	20	261	0	50	157	54		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	21	281	0	62	145	74		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	22	303	0	67	156	80		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	23	324	0	71	167	86		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	24	346	0	76	178	92		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	25	369	0	81	190	98		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	26	390	0	86	201	103		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	27	413	0	95	217	101		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	28	432	0	99	227	106		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	29	453	0	104	238	111		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	30	472	0	108	248	116		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	31	491	0	113	258	120		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	32	508	0	117	267	124		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	33	527	0	121	277	129		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	34	545	0	125	286	134		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	35	560	0	129	294	137		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	36	575	0	132	302	141		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	37	587	0	135	308	144		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	38	599	0	138	314	147		
